"site","sample","count","cover","mined","DOP","Wtemp","DOY"
"R-1",1,14,-0.447615676,"no",0,-3.023357951,-2.712216348
"R-1",2,17,-0.447615676,"no",-0.301823307,-1.364687976,-0.524831475
"R-1",3,22,-0.447615676,"no",0,-0.583417728,0.163789689
"R-1",4,20,-0.447615676,"no",-0.091599899,0.179616118,1.257482125
"R-2",1,13,0.596820901,"no",0.595683397,-0.144345326,-0.686859984
"R-2",2,16,0.596820901,"no",3.169144721,1.412103412,-0.200774457
"R-2",3,28,0.596820901,"no",0,0.946460832,0.609368088
"R-2",4,16,0.596820901,"no",2.015197787,0.041603733,1.297989252
"R-3",1,14,1.342847027,"no",0.595683397,-0.014660072,-0.686859984
"R-3",2,18,1.342847027,"no",3.169144721,-0.402433535,-0.200774457
"R-3",3,16,1.342847027,"no",1.658312395,0.56041671,1.297989252
"R-3",4,8,1.342847027,"no",2.015197787,-0.427638374,1.297989252
"R-4",1,21,-0.944966426,"no",-0.595683397,-0.44694425,-0.970409875
"R-4",2,20,-0.944966426,"no",-0.301823307,-1.11725112,-0.524831475
"R-4",3,25,-0.944966426,"no",0,0.782034632,0.609368088
"R-4",4,44,-0.944966426,"no",-0.091599899,-0.096408651,1.257482125
"R-5",1,15,0.497350751,"no",-0.595683397,-0.602566554,-0.970409875
"R-5",2,21,0.497350751,"no",-0.301823307,-0.860649935,-0.524831475
"R-5",3,14,0.497350751,"no",0,0.102882934,0.609368088
"R-5",4,24,0.497350751,"no",-0.091599899,-0.850876353,1.257482125
"R-6",1,35,0.149205225,"no",0,-0.092471224,-0.767874239
"R-6",2,19,0.149205225,"no",-0.301823307,0.101604506,-0.443817221
"R-6",3,10,0.149205225,"no",0,0.453182231,0.123282561
"R-6",4,28,0.149205225,"no",-2.198397586,0.915682169,0.973932234
"R-7",1,13,1.889932853,"no",1.787050192,-0.248093528,-1.578016784
"R-7",2,7,1.889932853,"no",-0.301823307,-1.108086792,-0.524831475
"R-7",3,9,1.889932853,"no",0,0.052840178,0.082775434
"R-7",4,15,1.889932853,"no",-0.091599899,-0.924482958,1.257482125
"R-8",1,15,-0.149205225,"no",1.787050192,1.169798575,-1.578016784
"R-8",2,18,-0.149205225,"no",-0.301823307,0.394863003,-0.443817221
"R-8",3,10,-0.149205225,"no",0,0.631906362,0.123282561
"R-8",4,20,-0.149205225,"no",-2.198397586,1.863367209,0.973932234
"R-9",1,11,-0.049735075,"no",-1.191366794,-0.792771592,-1.497002529
"R-9",2,11,-0.049735075,"no",-0.301823307,-0.429926519,-0.443817221
"R-9",3,9,-0.049735075,"no",0,-0.354650841,0.123282561
"R-9",4,8,-0.049735075,"no",2.015197787,0.593653271,0.973932234
"R-10",1,10,1.193641802,"no",1.787050192,-0.658763497,-1.578016784
"R-10",2,6,1.193641802,"no",-0.301823307,-1.465495584,-0.524831475
"R-10",3,13,1.193641802,"no",0,-0.647758415,0.082775434
"R-10",4,25,1.193641802,"no",-0.091599899,-1.246511856,1.257482125
"R-11",1,7,1.790462703,"no",-1.191366794,-0.101116908,-1.537509657
"R-11",2,9,1.790462703,"no",-0.301823307,-0.23747563,-0.524831475
"R-11",3,6,1.790462703,"no",0,1.396845642,0.082775434
"R-11",4,12,1.790462703,"no",-0.091599899,0.72246483,1.257482125
"R-12",1,16,0.795761201,"no",0,0.214450542,-0.767874239
"R-12",2,6,0.795761201,"no",-0.301823307,0.074111522,-0.443817221
"R-12",3,12,0.795761201,"no",0,0.174372587,0.082775434
"R-12",4,15,0.795761201,"no",-0.091599899,-0.188416908,1.257482125
"VF-1",1,1,-1.442317177,"yes",-0.595683397,-1.229378612,-1.497002529
"VF-1",2,1,-1.442317177,"yes",-0.301823307,0.239069426,-0.322295839
"VF-1",3,4,-1.442317177,"yes",1.658312395,-0.826482546,0.649875216
"VF-1",4,1,-1.442317177,"yes",-0.091599899,-1.034892866,1.379003507
"VF-2",1,8,0.29841045,"yes",-0.595683397,0.084765289,-1.497002529
"VF-2",2,7,0.29841045,"yes",-0.301823307,1.338788788,-0.322295839
"VF-2",3,8,0.29841045,"yes",1.658312395,0.195819483,0.649875216
"VF-2",4,6,0.29841045,"yes",-0.091599899,-0.022802046,1.379003507
"VF-3",1,0,0.397880601,"yes",-1.191366794,1.014176271,-1.294466893
"VF-3",2,0,0.397880601,"yes",-0.301823307,0.294055395,-0.484324348
"VF-3",3,0,0.397880601,"yes",-1.658312395,-0.161628779,0.649875216
"VF-3",4,0,0.397880601,"yes",-0.091599899,-1.669749835,1.419510634
"VF-4",1,0,-1.591522402,"yes",-1.191366794,2.004107039,-1.294466893
"VF-4",2,1,-1.591522402,"yes",-0.301823307,2.209399949,-0.484324348
"VF-4",3,2,-1.591522402,"yes",-1.658312395,0.639055327,0.649875216
"VF-4",4,2,-1.591522402,"yes",-0.091599899,0.924882994,1.419510634
"VF-5",1,0,-1.541787327,"yes",0.595683397,0.88881386,-1.091931257
"VF-5",2,1,-1.541787327,"yes",-0.301823307,0.147426146,-0.443817221
"VF-5",3,1,-1.541787327,"yes",1.658312395,1.511229086,0.649875216
"VF-5",4,0,-1.541787327,"yes",-0.091599899,0.032402908,1.419510634
"VF-6",1,0,-0.397880601,"yes",-1.191366794,0.25767896,-1.294466893
"VF-6",2,0,-0.397880601,"yes",-0.301823307,-0.05418907,-0.484324348
"VF-6",3,1,-0.397880601,"yes",0,-1.905976297,0.163789689
"VF-6",4,1,-0.397880601,"yes",-0.091599899,0.510845841,1.460017761
"VF-7",1,7,-0.696291051,"yes",0.595683397,0.339812954,-1.091931257
"VF-7",2,4,-0.696291051,"yes",-0.301823307,-1.016443511,-0.443817221
"VF-7",3,1,-0.696291051,"yes",-1.658312395,1.368249781,0.649875216
"VF-7",4,1,-0.696291051,"yes",-0.091599899,2.056584547,1.419510634
"VF-8",1,2,-0.696291051,"yes",0.595683397,-0.377778782,-1.091931257
"VF-8",2,5,-0.696291051,"yes",-0.301823307,-0.081682054,-0.484324348
"VF-8",3,9,-0.696291051,"yes",0,-1.484187348,0.163789689
"VF-8",4,1,-0.696291051,"yes",-0.091599899,-1.734155614,1.460017761
"VF-9",1,5,0.447615676,"yes",0.595683397,-0.170282376,-1.091931257
"VF-9",2,0,0.447615676,"yes",-0.301823307,-0.439090847,-0.484324348
"VF-9",3,0,0.447615676,"yes",0,-1.755848027,0.163789689
"VF-9",4,1,0.447615676,"yes",-0.091599899,0.768468959,1.460017761
"VF-10",1,0,-0.795761201,"yes",-1.191366794,1.238964044,-1.294466893
"VF-10",2,1,-0.795761201,"yes",-0.301823307,1.998620405,-0.484324348
"VF-10",3,0,-0.795761201,"yes",-1.658312395,0.417437405,0.649875216
"VF-10",4,0,-0.795761201,"yes",-0.091599899,0.308427677,1.419510634
"VF-11",1,1,-0.646555976,"yes",0.595683397,0.689963138,-1.091931257
"VF-11",2,1,-0.646555976,"yes",-0.301823307,0.367370019,-0.484324348
"VF-11",3,3,-0.646555976,"yes",0,-1.512783209,0.163789689
"VF-11",4,4,-0.646555976,"yes",-0.091599899,-0.722064794,1.460017761
