"Class","Sex","Age","survived"
"1st","Male","Child",1
"1st","Male","Child",1
"1st","Male","Child",1
"1st","Male","Child",1
"1st","Male","Child",1
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Female","Child",1
"1st","Female","Adult",0
"1st","Female","Adult",0
"1st","Female","Adult",0
"1st","Female","Adult",0
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",0
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Male","Adult",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Child",1
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",0
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"2nd","Female","Adult",1
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",0
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Child",1
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
"3rd","Male","Adult",0
